ID,X,Y,Z
1,-1.552996533,-1.867352402,-0.784012795
2,-1.73080784,-1.88351283,-0.416926508
3,-1.972736093,-2.06077795,-0.245470403
4,-2.437779665,-2.292182367,-0.660987375
5,-2.180666154,-2.179227385,-0.556635369
6,-1.998038231,-2.501713466,-0.908231599
7,-1.820676638,-2.611212883,-0.618186288
8,-2.256878552,-1.850061436,-1.07112193
9,-1.786115177,-1.999915293,-0.660445109
10,-1.821968296,-1.99200914,-0.556715695
11,-1.760401263,-2.116388168,-0.54144161
12,-2.600703303,-1.285254591,-0.2591934
13,-1.88178903,-2.900245346,-1.261914553
14,-2.127774943,-2.963597767,-1.302913611
15,-2.48909689,-2.705095581,-0.646069811
16,-2.168165806,-2.679504495,-0.939070709
17,-2.033252623,-2.425470799,-1.243850717
18,-1.805503665,-1.805466349,-1.180623555
19,-1.475827481,-1.885352008,-0.871073083
20,-2.112723641,-2.256435947,-1.179961854
21,-2.158277352,-1.682291071,-0.253606137
22,-1.886258879,-2.117294157,-1.433039324
23,-1.910705151,-2.626449811,-0.354898441
24,-1.965034578,-1.890505716,-0.377046992
25,-1.751990845,-1.870665517,-1.22051899
26,-2.105401998,-2.253767067,-0.864072321
27,-1.513210177,-2.789147453,-0.324409234
28,-2.031309083,-2.405147623,-1.164524853
29,-1.609928215,-2.204755955,-1.178075627
30,-2.076746094,-2.650802141,-0.90027804
31,-1.616214239,-2.293478034,-0.682437875
32,-2.155875285,-1.658252727,-1.25418134
33,-2.004961925,-2.447688394,-1.164598632
34,-1.870293239,-2.183240549,-1.620440096
35,-2.205056108,-2.401824111,-0.841008739
36,-1.769377318,-2.414585576,-0.276379756
37,-1.34612212,-2.751021685,-0.332169625
38,-2.174355721,-2.849199593,-0.839386303
39,-1.810081632,-1.875368491,-0.948454325
40,-1.472559785,-2.753595969,-1.031223982
41,-1.433581839,-1.637683466,-0.453406297
42,-1.831764696,-1.732456449,-1.072379949
43,-1.412165086,-2.061261047,-0.181587933
44,-2.318531939,-2.358117135,-1.394798326
45,-1.074832526,-2.46818484,-0.987503268
46,-2.368360122,-2.058898518,-0.545288412
47,-1.842774148,-2.669154585,-0.40533511
48,-2.10298814,-2.188666575,-1.086971942
49,-1.80289192,-2.478609811,-1.454724587
50,-1.529359704,-1.852758918,-1.130291332
51,-2.194237602,-2.514650002,-0.833011691
52,-1.795372274,-2.330429944,-1.678500107
53,-2.111947225,-2.576679998,-1.070393428
54,-1.384986345,-2.394392095,-0.321852433
55,-2.242375318,-2.447877591,-0.858500561
56,-1.887056128,-1.794256645,-0.495542773
57,-2.136840196,-1.35656916,-1.245609757
58,-1.676449001,-2.560340568,-1.68166925
59,-1.921704627,-2.90597439,-0.506043181
60,-2.318506856,-1.943729217,-1.500852451
61,-2.151046376,-1.748793041,-0.826823428
62,-1.907652241,-2.457485201,-0.412083687
63,-2.598337475,-2.002857169,0.394264655
64,-1.877822239,-2.93172341,-1.532075745
65,-2.231555498,-2.698217153,-0.613370265
66,-2.024319868,-2.148450205,-0.120397474
67,-2.237342658,-2.210603316,-1.214171655
68,-2.341601691,-2.140660955,-0.353198654
69,-2.225968919,-1.719475687,-0.396038285
70,-2.552489813,-1.646953076,-0.639856857
71,-1.251831423,-2.389531771,-0.568186828
72,-2.227013022,-1.953257962,-0.321167972
73,-1.897340189,-2.610361425,-0.522044824
74,-1.791158761,-2.382859831,-1.484152801
75,-1.87458486,-2.575961828,-0.154733009
76,-2.331599816,-2.73048033,-1.195813334
77,-2.087312344,-1.723284093,-1.448918716
78,-2.259484794,-2.538559762,-1.933210731
79,-2.001655294,-2.325681669,-0.748355688
80,-2.136784713,-2.489895254,-0.093656918
81,-1.934398453,-2.469753697,-0.573176394
82,-1.527381738,-2.157240383,-0.948938035
83,-1.532373239,-2.331800625,-0.963385244
84,-1.658045081,-2.913743251,-1.303177944
85,-1.759932122,-2.694483984,-0.803425161
86,-2.255910233,-2.166556848,-0.659722516
87,-1.963225548,-1.644964692,-0.558313307
88,-1.388980434,-2.611517532,-0.707237533
89,-2.292213755,-2.23337578,-1.135226046
90,-2.077568845,-2.358923992,-1.332137693
91,-2.625883668,-2.227231374,-0.175048495
92,-1.55910212,-2.452916648,-0.362145511
93,-1.846194726,-3.040238143,-0.85121346
94,-1.96160748,-1.620756238,-0.704911713
95,-2.311771812,-1.976091356,-0.969839518
96,-2.377011084,-2.199439031,-0.616873378
97,-1.794363725,-2.448028725,-1.099403773
98,-1.541418217,-2.553389674,-0.978927467
99,-1.633657687,-2.439407861,-0.725579552
100,-2.17938355,-2.758661164,-0.980045504
101,-2.109604096,-2.500938356,-1.191598904
102,-1.954811937,-2.229840725,-0.430795066
103,-2.12565044,-2.763146397,-0.340571839
104,-1.782706763,-2.029975697,-0.215962055
105,-1.985077716,-1.890237149,-1.006236038
106,-2.265007591,-2.249069839,-1.185858375
107,-1.661713029,-1.71190787,-0.477993432
108,-2.375220082,-2.19570497,-0.457384229
109,-2.15022782,-1.526397721,-0.016156886
110,-1.905146248,-1.88516199,-0.458396283
111,-2.0977946,-2.45121952,-0.789494176
112,-2.010509289,-1.533291446,-0.569016146
113,-2.153131648,-2.591800077,-0.324506728
114,-2.330415939,-2.398352356,-0.682511189
115,-1.918451942,-1.727111477,-0.625292404
116,-1.662951802,-2.426727746,-1.023034794
117,-1.967507281,-2.407935511,-0.278466034
118,-2.260900474,-2.1457389,-0.530606664
119,-2.039265247,-1.336532096,-0.813909701
120,-2.269603268,-2.139764651,-0.884906294
121,-1.692978558,-1.52756614,-0.817331453
122,-2.248044946,-1.872184622,-1.109186213
123,-1.916418329,-1.955182566,-1.162903157
124,-2.101488014,-2.111410862,-0.845125887
125,-2.619245281,-1.326107609,-0.729995585
126,-2.143037559,-1.960244992,-1.559128021
127,-2.04510864,-2.470518515,-0.503151882
128,-1.779289244,-1.990102104,-0.152900793
129,-2.587433062,-2.11559511,-0.662392663
130,-2.285156134,-0.971864343,-0.983034537
131,-1.861308132,-2.147497152,-0.10080318
132,-1.830220159,-1.557121483,-0.992756123
133,-1.559570517,-1.935453116,-1.767988838
134,-1.824002645,-2.595034076,-1.036924824
135,-1.594006077,-1.802230959,-0.454199548
136,-1.596496462,-1.861016548,-0.84800524
137,-1.881882297,-1.972184586,-0.558798704
138,-1.95235605,-2.566280076,-0.539174841
139,-1.87974599,-1.565586142,-0.237933709
140,-2.216285693,-1.97114041,-1.440278804
141,-2.645246836,-2.813153306,-1.272086901
142,-2.187633335,-1.67991109,-0.496356009
143,-2.418818449,-2.046267792,-0.833920646
144,-2.007675889,-2.139857,-0.582189656
145,-1.566562065,-2.345503293,-0.474986082
146,-2.070392557,-2.466585043,-0.608338256
147,-1.768533586,-1.487221663,-0.515692721
148,-1.457954833,-2.182706858,-0.934548339
149,-2.285887038,-2.163489077,0.059005778
150,-1.983835868,-2.193278755,-0.461129285
151,-2.240147924,-2.005928837,-0.270682528
152,-2.194326205,-1.970539579,-0.592581338
153,-2.306962625,-1.805138822,-1.1622026
154,-2.045745129,-1.62855094,-0.16603061
155,-2.30410025,-1.816651921,0.517818042
156,-1.899281259,-2.639797673,-1.373864265
157,-2.445378938,-1.601231175,-0.020942871
158,-2.183131813,-2.474913497,-1.147310111
