,label,description,x,y,z
0,EUR,European,-1.552996533,-1.867352402,-0.784012795
1,EUR,European,-1.73080784,-1.88351283,-0.416926508
2,EUR,European,-1.972736093,-2.06077795,-0.245470403
3,EUR,European,-2.437779665,-2.292182367,-0.660987375
4,EUR,European,-2.180666154,-2.179227385,-0.556635369
5,EUR,European,-1.998038231,-2.501713466,-0.908231599
6,EUR,European,-1.820676638,-2.611212883,-0.618186288
7,EUR,European,-2.256878552,-1.850061436,-1.07112193
8,EUR,European,-1.786115177,-1.999915293,-0.660445109
9,EUR,European,-1.821968296,-1.99200914,-0.556715695
10,EUR,European,-1.760401263,-2.116388168,-0.54144161
11,EUR,European,-2.600703303,-1.285254591,-0.2591934
12,EUR,European,-1.88178903,-2.900245346,-1.261914553
13,EUR,European,-2.127774943,-2.963597767,-1.302913611
14,EUR,European,-2.48909689,-2.705095581,-0.646069811
15,EUR,European,-2.168165806,-2.679504495,-0.939070709
16,EUR,European,-2.033252623,-2.425470799,-1.243850717
17,EUR,European,-1.805503665,-1.805466349,-1.180623555
18,EUR,European,-1.475827481,-1.885352008,-0.871073083
19,EUR,European,-2.112723641,-2.256435947,-1.179961854
20,EUR,European,-2.158277352,-1.682291071,-0.253606137
21,EUR,European,-1.886258879,-2.117294157,-1.433039324
22,EUR,European,-1.910705151,-2.626449811,-0.354898441
23,EUR,European,-1.965034578,-1.890505716,-0.377046992
24,EUR,European,-1.751990845,-1.870665517,-1.22051899
25,EUR,European,-2.105401998,-2.253767067,-0.864072321
26,EUR,European,-1.513210177,-2.789147453,-0.324409234
27,EUR,European,-2.031309083,-2.405147623,-1.164524853
28,EUR,European,-1.609928215,-2.204755955,-1.178075627
29,EUR,European,-2.076746094,-2.650802141,-0.90027804
30,EUR,European,-1.616214239,-2.293478034,-0.682437875
31,EUR,European,-2.155875285,-1.658252727,-1.25418134
32,EUR,European,-2.004961925,-2.447688394,-1.164598632
33,EUR,European,-1.870293239,-2.183240549,-1.620440096
34,EUR,European,-2.205056108,-2.401824111,-0.841008739
35,EUR,European,-1.769377318,-2.414585576,-0.276379756
36,EUR,European,-1.34612212,-2.751021685,-0.332169625
37,EUR,European,-2.174355721,-2.849199593,-0.839386303
38,EUR,European,-1.810081632,-1.875368491,-0.948454325
39,EUR,European,-1.472559785,-2.753595969,-1.031223982
40,EUR,European,-1.433581839,-1.637683466,-0.453406297
41,EUR,European,-1.831764696,-1.732456449,-1.072379949
42,EUR,European,-1.412165086,-2.061261047,-0.181587933
43,EUR,European,-2.318531939,-2.358117135,-1.394798326
44,EUR,European,-1.074832526,-2.46818484,-0.987503268
45,EUR,European,-2.368360122,-2.058898518,-0.545288412
46,EUR,European,-1.842774148,-2.669154585,-0.40533511
47,EUR,European,-2.10298814,-2.188666575,-1.086971942
48,EUR,European,-1.80289192,-2.478609811,-1.454724587
49,EUR,European,-1.529359704,-1.852758918,-1.130291332
50,EUR,European,-2.194237602,-2.514650002,-0.833011691
51,EUR,European,-1.795372274,-2.330429944,-1.678500107
52,EUR,European,-2.111947225,-2.576679998,-1.070393428
53,EUR,European,-1.384986345,-2.394392095,-0.321852433
54,EUR,European,-2.242375318,-2.447877591,-0.858500561
55,EUR,European,-1.887056128,-1.794256645,-0.495542773
56,EUR,European,-2.136840196,-1.35656916,-1.245609757
57,EUR,European,-1.676449001,-2.560340568,-1.68166925
58,EUR,European,-1.921704627,-2.90597439,-0.506043181
59,EUR,European,-2.318506856,-1.943729217,-1.500852451
60,EUR,European,-2.151046376,-1.748793041,-0.826823428
61,EUR,European,-1.907652241,-2.457485201,-0.412083687
62,EUR,European,-2.598337475,-2.002857169,0.394264655
63,EUR,European,-1.877822239,-2.93172341,-1.532075745
64,EUR,European,-2.231555498,-2.698217153,-0.613370265
65,EUR,European,-2.024319868,-2.148450205,-0.120397474
66,EUR,European,-2.237342658,-2.210603316,-1.214171655
67,EUR,European,-2.341601691,-2.140660955,-0.353198654
68,EUR,European,-2.225968919,-1.719475687,-0.396038285
69,EUR,European,-2.552489813,-1.646953076,-0.639856857
70,EUR,European,-1.251831423,-2.389531771,-0.568186828
